design_id,gate_pass,endurance_pass,termination,failure_reasons,endurance_termination,drag_case,empty_mass_kg,initial_fuel_kg,initial_mass_kg,wing_area_m2,altitude_m,gamma_deg,rated_thrust_n,initial_installed_thrust_to_weight,wing_loading_n_m2,elapsed_s,final_mach,time_to_mach_1_s,fuel_at_mach_1_kg,final_fuel_kg,min_excess_thrust_n,min_acceleration_force_n,max_cl,max_q_pa,review_flags,reached_mach_1,mass_within_limit,fuel_nonnegative,never_descends,positive_excess_thrust,positive_acceleration,cl_within_limit,q_within_limit,drag_sensitivity
D0012,False,False,time_limit,time_limit;reached_mach_1,gate_failed,pessimistic,21.0,3.0,24.0,0.08,6000.0,0,300.0,0.6132839325650038,2941.995,120.0,0.8834716701967369,,,2.1644092383912845,0.015617717292030875,0.015617717292030875,0.13907845267271926,25798.078600632965,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0013,False,False,q_limit,q_limit;reached_mach_1,gate_failed,optimistic,18.0,1.0,19.0,0.08,0.0,0,450.0,1.8475647700929043,2329.079375,4.527879160275631,0.9573028505467166,,,0.919288684348454,158.86735323068638,158.86735323068638,0.05130854074142609,65000.00000000001,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0013,False,False,q_limit,q_limit;reached_mach_1,gate_failed,baseline,18.0,1.0,19.0,0.08,0.0,0,450.0,1.8475647700929043,2329.079375,7.588663701459849,0.9573028505467166,,,0.8651207918638287,47.833283405383895,47.833283405383895,0.05130854074142609,65000.00000000001,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0013,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,pessimistic,18.0,1.0,19.0,0.08,0.0,0,450.0,1.8475647700929043,2329.079375,30.904965216135196,0.9064812722036135,,,0.45021765589575496,0.009999999999990905,0.009999999999990905,0.05130854074142609,58281.71522524555,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0014,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.08,3000.0,0,450.0,1.4774460795197086,2329.079375,7.27974996709434,1.0,7.27974996709434,0.9003613591279783,0.8509582318775807,113.54042042822252,113.54042042822252,0.07414080246006563,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0014,True,True,target_reached,,hold_complete,baseline,18.0,1.0,19.0,0.08,3000.0,0,450.0,1.4774460795197086,2329.079375,14.254908572232347,1.0,14.254908572232347,0.8058876349493543,0.6984233795520098,22.922556007578123,22.922556007578123,0.07414080246006563,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0014,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,pessimistic,18.0,1.0,19.0,0.08,3000.0,0,450.0,1.4774460795197086,2329.079375,43.89091642008157,0.9260308762928339,,,0.3994660080851801,0.010000000000104592,0.010000000000104592,0.07414080246006563,42091.84554941683,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,baseline_pass_sensitive
D0015,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.08,6000.0,0,450.0,1.1620116617021126,2329.079375,8.369089792110602,1.0,8.369089792110602,0.9131938461621593,0.8788732448850424,102.7127639682121,102.7127639682121,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0015,True,True,target_reached,,hold_complete,baseline,18.0,1.0,19.0,0.08,6000.0,0,450.0,1.1620116617021126,2329.079375,12.832765682334422,1.0,12.832765682334422,0.8672962355706145,0.8083013770428945,41.018235386599144,41.018235386599144,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0015,False,False,fuel_exhausted,fuel_exhausted;reached_mach_1,gate_failed,pessimistic,18.0,1.0,19.0,0.08,6000.0,0,450.0,1.1620116617021126,2329.079375,97.04974870067416,0.9499097272709934,,,0.0,0.011398050037740859,0.011398050037740859,0.11010377503256939,29824.060795549827,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,baseline_pass_sensitive
D0016,False,False,q_limit,q_limit;reached_mach_1,gate_failed,optimistic,21.0,1.0,22.0,0.08,0.0,0,450.0,1.59562411962569,2696.8287499999997,5.251722551250604,0.9573028505467166,,,0.90638596604028,158.54828148120043,158.54828148120043,0.05940988927954599,65000.00000000001,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0016,False,False,q_limit,q_limit;reached_mach_1,gate_failed,baseline,21.0,1.0,22.0,0.08,0.0,0,450.0,1.59562411962569,2696.8287499999997,8.816109136906924,0.9573028505467166,,,0.8433062857017442,47.51607719408884,47.51607719408884,0.05940988927954599,65000.00000000001,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0016,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,pessimistic,21.0,1.0,22.0,0.08,0.0,0,450.0,1.59562411962569,2696.8287499999997,37.35665456442182,0.9063334718470326,,,0.33548760699155483,0.009999999999877218,0.009999999999877218,0.05940988927954599,58262.71128925222,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
