design_id,gate_pass,endurance_pass,termination,failure_reasons,endurance_termination,drag_case,empty_mass_kg,initial_fuel_kg,initial_mass_kg,wing_area_m2,altitude_m,gamma_deg,rated_thrust_n,initial_installed_thrust_to_weight,wing_loading_n_m2,elapsed_s,final_mach,time_to_mach_1_s,fuel_at_mach_1_kg,final_fuel_kg,min_excess_thrust_n,min_acceleration_force_n,max_cl,max_q_pa,review_flags,reached_mach_1,mass_within_limit,fuel_nonnegative,never_descends,positive_excess_thrust,positive_acceleration,cl_within_limit,q_within_limit,drag_sensitivity
D0032,True,True,target_reached,,hold_complete,baseline,18.0,3.0,21.0,0.08,3000.0,0,600.0,1.7823159054523467,2574.245625,7.1036616619588315,1.0,7.1036616619588315,2.8705143134188162,2.792032328285656,108.28362074710546,108.28362074710546,0.08194509745586201,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0033,True,True,target_reached,,hold_complete,optimistic,18.0,3.0,21.0,0.08,6000.0,0,600.0,1.4017918458628658,2574.245625,6.205770821343731,1.0,6.205770821343731,2.914122283936226,2.879723606633233,169.6624427344505,169.6624427344505,0.12169364608862934,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,passes_all_three_assumed_polars
D0033,True,True,target_reached,,hold_complete,baseline,18.0,3.0,21.0,0.08,6000.0,0,600.0,1.4017918458628658,2574.245625,7.827199104684212,1.0,7.827199104684212,2.8918437016895404,2.8383341821666987,107.9637841853548,107.9637841853548,0.12169364608862934,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,passes_all_three_assumed_polars
D0033,True,True,target_reached,,hold_complete,pessimistic,18.0,3.0,21.0,0.08,6000.0,0,600.0,1.4017918458628658,2574.245625,16.31930891465569,1.0,16.31930891465569,2.775683253058835,2.6524411252965145,19.38838809531248,19.38838809531248,0.12169364608862934,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,passes_all_three_assumed_polars
D0035,True,True,target_reached,,hold_complete,optimistic,21.0,3.0,24.0,0.08,3000.0,0,600.0,1.5595264172708034,2941.995,6.027870491840679,1.0,6.027870491840679,2.8899038703918927,2.8395287390744777,198.44556945400743,198.44556945400743,0.09365153994955658,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0035,True,True,target_reached,,hold_complete,baseline,21.0,3.0,24.0,0.08,3000.0,0,600.0,1.5595264172708034,2941.995,8.143302201084522,1.0,8.143302201084522,2.8515647295727082,2.77123665457425,107.8217044916492,107.8217044916492,0.09365153994955658,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0036,True,True,target_reached,,hold_complete,optimistic,21.0,3.0,24.0,0.08,6000.0,0,600.0,1.2265678651300076,2941.995,7.120604428486752,1.0,7.120604428486752,2.9014624302969607,2.8660976809041223,168.97358330167265,168.97358330167265,0.13907845267271926,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,passes_all_three_assumed_polars
D0036,True,True,target_reached,,hold_complete,baseline,21.0,3.0,24.0,0.08,6000.0,0,600.0,1.2265678651300076,2941.995,8.991016624083315,1.0,8.991016624083315,2.87576293984033,2.820813568382189,107.27645021519561,107.27645021519561,0.13907845267271926,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,passes_all_three_assumed_polars
D0036,True,True,target_reached,,hold_complete,pessimistic,21.0,3.0,24.0,0.08,6000.0,0,600.0,1.2265678651300076,2941.995,18.9321246803375,1.0,18.9321246803375,2.739791916988427,2.605056172585898,18.70946278163609,18.70946278163609,0.13907845267271926,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,passes_all_three_assumed_polars
D0050,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.12,3000.0,0,450.0,1.4774460795197086,1552.7195833333333,10.79979903122777,1.0,10.79979903122777,0.8526100886786467,0.774020920461328,45.47817008492143,45.47817008492143,0.04942720164004375,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0051,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.12,6000.0,0,450.0,1.1620116617021126,1552.7195833333333,11.030560106275647,1.0,11.030560106275647,0.8858041985582181,0.8348206892625738,56.42457798387366,56.42457798387366,0.0734025166883796,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0053,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.12,3000.0,0,450.0,1.2759761595852028,1797.8858333333333,12.54766095880045,1.0,12.54766095880045,0.828758540449866,0.7468116653102964,45.198509780160975,45.198509780160975,0.05723149663584013,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
