design_id,drag_case,total_installation_loss_pct,audit_basis,critical_fixed_body_fraction,controlling_mach,permitted_extra_constant_drag_area_m2,permitted_extra_wing_cd
D0030,baseline,15,entry_mass,1.4473901304232357,1.0,0.003258747983200119,0.04073434979000149
D0030,baseline,15,dry_mass_lower_drag_bound,1.4503632888283853,1.0,0.003265441944802359,0.04081802431002949
D0030,pessimistic,15,entry_mass,0.1622321874826801,1.0,0.000578141350404856,0.0072267668800607
D0030,pessimistic,15,dry_mass_lower_drag_bound,0.16411057938960005,1.0,0.0005848353120070949,0.007310441400088686
D0030,optimistic,20,entry_mass,3.4694899715553316,1.0,0.004646066268802226,0.05807582836002782
D0030,optimistic,20,dry_mass_lower_drag_bound,3.4744887449918833,1.0,0.004652760230404466,0.05815950288005582
D0030,baseline,20,entry_mass,1.2344075520078166,1.0,0.002779225197132028,0.03474031496415035
D0030,baseline,20,dry_mass_lower_drag_bound,1.237380710412966,1.0,0.0027859191587342675,0.03482398948417834
D0030,pessimistic,20,entry_mass,0.02767334564038879,1.0,9.861856433676438e-05,0.0012327320542095547
D0030,pessimistic,20,dry_mass_lower_drag_bound,0.02955173754730878,1.0,0.00010531252593900326,0.0013164065742375408
D0030,optimistic,25,entry_mass,3.1114022041536775,1.0,0.004166543482734133,0.05208179353417666
D0030,optimistic,25,dry_mass_lower_drag_bound,3.1164009775902293,1.0,0.004173237444336372,0.052165468054204654
D0030,baseline,25,entry_mass,1.0214249735923966,1.0,0.0022997024110639344,0.02874628013829918
D0030,baseline,25,dry_mass_lower_drag_bound,1.024398131997546,1.0,0.002306396372666174,0.028829954658327175
D0030,pessimistic,25,entry_mass,-0.106885496201903,1.0,-0.000380904221731329,-0.004761302771641612
D0030,pessimistic,25,dry_mass_lower_drag_bound,-0.10500710429498299,1.0,-0.00037421026012909007,-0.004677628251613625
D0033,optimistic,15,entry_mass,3.8325765123935365,1.0,0.005132283016472557,0.06415353770590697
D0033,optimistic,15,dry_mass_lower_drag_bound,3.846177826162758,1.0,0.0051504968189716735,0.06438121023714592
D0033,baseline,15,entry_mass,1.4503632888283853,1.0,0.003265441944802359,0.04081802431002949
D0033,baseline,15,dry_mass_lower_drag_bound,1.458453045419139,1.0,0.003283655747301475,0.041045696841268436
D0033,pessimistic,15,entry_mass,0.16411057938960005,1.0,0.0005848353120070949,0.007310441400088686
D0033,pessimistic,15,dry_mass_lower_drag_bound,0.1692215527177314,1.0,0.0006030491145062106,0.007538113931327633
D0033,optimistic,20,entry_mass,3.4744887449918833,1.0,0.004652760230404466,0.05815950288005582
D0033,optimistic,20,dry_mass_lower_drag_bound,3.4880900587611054,1.0,0.004670974032903581,0.05838717541129477
D0033,baseline,20,entry_mass,1.237380710412966,1.0,0.0027859191587342675,0.03482398948417834
D0033,baseline,20,dry_mass_lower_drag_bound,1.2454704670037198,1.0,0.0028041329612333832,0.03505166201541729
D0033,pessimistic,20,entry_mass,0.02955173754730878,1.0,0.00010531252593900326,0.0013164065742375408
D0033,pessimistic,20,dry_mass_lower_drag_bound,0.034662710875440136,1.0,0.0001235263284381191,0.0015440791054764885
D0033,optimistic,25,entry_mass,3.1164009775902293,1.0,0.004173237444336372,0.052165468054204654
D0033,optimistic,25,dry_mass_lower_drag_bound,3.130002291359451,1.0,0.004191451246835488,0.0523931405854436
D0033,baseline,25,entry_mass,1.024398131997546,1.0,0.002306396372666174,0.028829954658327175
D0033,baseline,25,dry_mass_lower_drag_bound,1.0324878885882998,1.0,0.0023246101751652898,0.029057627189566122
D0033,pessimistic,25,entry_mass,-0.10500710429498299,1.0,-0.00037421026012909007,-0.004677628251613625
D0033,pessimistic,25,dry_mass_lower_drag_bound,-0.09989613096685163,1.0,-0.00035599645762997425,-0.004449955720374678
D0036,optimistic,15,entry_mass,3.8168826888136653,1.0,0.005111267090512038,0.06389083863140048
D0036,optimistic,15,dry_mass_lower_drag_bound,3.8325765123935365,1.0,0.005132283016472557,0.06415353770590697
D0036,baseline,15,entry_mass,1.441028954300592,1.0,0.00324442601884184,0.040555325235523
D0036,baseline,15,dry_mass_lower_drag_bound,1.4503632888283853,1.0,0.003265441944802359,0.04081802431002949
D0036,pessimistic,15,entry_mass,0.15821330247252513,1.0,0.0005638193860465756,0.007047742325582195
D0036,pessimistic,15,dry_mass_lower_drag_bound,0.16411057938960005,1.0,0.0005848353120070949,0.007310441400088686
D0036,optimistic,20,entry_mass,3.4587949214120126,1.0,0.004631744304443947,0.05789680380554933
D0036,optimistic,20,dry_mass_lower_drag_bound,3.4744887449918833,1.0,0.004652760230404466,0.05815950288005582
D0036,baseline,20,entry_mass,1.228046375885173,1.0,0.002764903232773748,0.03456129040967185
D0036,baseline,20,dry_mass_lower_drag_bound,1.237380710412966,1.0,0.0027859191587342675,0.03482398948417834
D0036,pessimistic,20,entry_mass,0.02365446063023387,1.0,8.429659997848407e-05,0.001053707499731051
D0036,pessimistic,20,dry_mass_lower_drag_bound,0.02955173754730878,1.0,0.00010531252593900326,0.0013164065742375408
D0036,optimistic,25,entry_mass,3.1007071540103586,1.0,0.004152221518375853,0.05190276897969816
D0036,optimistic,25,dry_mass_lower_drag_bound,3.1164009775902293,1.0,0.004173237444336372,0.052165468054204654
D0036,baseline,25,entry_mass,1.015063797469753,1.0,0.002285380446705655,0.02856725558382069
D0036,baseline,25,dry_mass_lower_drag_bound,1.024398131997546,1.0,0.002306396372666174,0.028829954658327175
D0036,pessimistic,25,entry_mass,-0.1109043812120579,1.0,-0.00039522618608960926,-0.004940327326120116
D0036,pessimistic,25,dry_mass_lower_drag_bound,-0.10500710429498299,1.0,-0.00037421026012909007,-0.004677628251613625
