case_id,design_id,drag_area_model,total_installation_loss_pct,installed_factor,fixed_body_fraction,wing_loading_kg_m2,full_gate_entry_min_excess_n,full_gate_dry_bound_min_excess_n,mach1_entry_cd,mach1_entry_drag_area_m2,mach1_thrust_n,level_hold_attempted,gate_pass,endurance_pass,termination,failure_reasons,endurance_termination,drag_case,empty_mass_kg,initial_fuel_kg,initial_mass_kg,wing_area_m2,altitude_m,gamma_deg,rated_thrust_n,initial_installed_thrust_to_weight,wing_loading_n_m2,elapsed_s,final_mach,time_to_mach_1_s,fuel_at_mach_1_kg,final_fuel_kg,min_excess_thrust_n,min_acceleration_force_n,max_cl,max_q_pa,review_flags,reached_mach_1,mass_within_limit,fuel_nonnegative,never_descends,positive_excess_thrust,positive_acceleration,cl_within_limit,q_within_limit
D0030_baseline_original_wing_scaled_loss15,D0030,original_wing_scaled,15,0.85,0.0,275.0,107.7192201446588,107.94047118572504,0.061160460368053,0.00489283682944424,269.438887302529,True,True,True,target_reached,,hold_complete,baseline,21.0,1.0,22.0,0.08,6000,0.0,600,1.338074034687281,2696.8287499999997,8.213202634839174,1.0,8.213202634839174,0.8865101497328425,0.8325257374214282,107.74484756767006,107.74484756767006,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0030_baseline_fixed_body_50pct_loss15,D0030,fixed_body_50pct,15,0.85,0.5,275.0,70.51113854983569,70.73238959090196,0.07523211559555211,0.006018569247644169,269.438887302529,True,True,True,target_reached,,hold_complete,baseline,21.0,1.0,22.0,0.08,6000,0.0,600,1.338074034687281,2696.8287499999997,9.963608210021906,1.0,9.963608210021906,0.8625119725484077,0.794614839604591,70.54216808346533,70.54216808346533,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0030_pessimistic_original_wing_scaled_loss15,D0030,original_wing_scaled,15,0.85,0.0,275.0,19.11891983869711,19.34017087976332,0.09466804327799379,0.007573443462239504,269.438887302529,True,True,True,target_reached,,hold_complete,pessimistic,21.0,1.0,22.0,0.08,6000,0.0,600,1.338074034687281,2696.8287499999997,17.17748521926977,1.0,17.17748521926977,0.7638937991670849,0.6369771061182758,19.172086601239442,19.172086601239442,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0030_pessimistic_fixed_body_50pct_loss15,D0030,fixed_body_50pct,15,0.85,0.5,275.0,-39.77481800459367,-39.55356696352743,0.11694095653952591,0.009355276523162074,269.438887302529,False,False,False,fuel_exhausted,fuel_exhausted;reached_mach_1,gate_failed,pessimistic,21.0,1.0,22.0,0.08,6000,0.0,600,1.338074034687281,2696.8287499999997,72.97940580824789,0.9651070436494545,,,0.0,0.017063201615087564,0.017063201615087564,0.1274885816166593,30785.98663825127,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True
D0030_optimistic_original_wing_scaled_loss20,D0030,original_wing_scaled,20,0.8,0.0,275.0,153.5733246673072,153.79457570837343,0.03782494697217552,0.0030259957577740415,253.58954099061555,True,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.08,6000,0.0,600,1.259363797352735,2696.8287499999997,7.057217662946524,1.0,7.057217662946524,0.9023499881862622,0.8653634282292944,153.5953832159877,153.5953832159877,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0030_optimistic_fixed_body_50pct_loss20,D0030,fixed_body_50pct,20,0.8,0.5,275.0,131.4427916601075,131.6640427011737,0.0461944521207944,0.003695556169663552,253.58954099061555,True,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.08,6000,0.0,600,1.259363797352735,2696.8287499999997,7.631090971804559,1.0,7.631090971804559,0.8944593797184811,0.8501750457124531,131.4666283646854,131.4666283646854,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0030_baseline_original_wing_scaled_loss20,D0030,original_wing_scaled,20,0.8,0.0,275.0,91.86987383274536,92.0911248738116,0.061160460368053,0.00489283682944424,253.58954099061555,True,True,True,target_reached,,hold_complete,baseline,21.0,1.0,22.0,0.08,6000,0.0,600,1.259363797352735,2696.8287499999997,9.150617886196166,1.0,9.150617886196166,0.8735961130085115,0.8155626661621447,91.89840900701486,91.89840900701486,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0030_baseline_fixed_body_50pct_loss20,D0030,fixed_body_50pct,20,0.8,0.5,275.0,54.66179223792224,54.88304327898851,0.07523211559555211,0.006018569247644169,253.58954099061555,True,True,True,target_reached,,hold_complete,baseline,21.0,1.0,22.0,0.08,6000,0.0,600,1.259363797352735,2696.8287499999997,11.512158142539993,1.0,11.512158142539993,0.8412415060496955,0.7662224452780576,54.69760490634579,54.69760490634579,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0030_pessimistic_original_wing_scaled_loss20,D0030,original_wing_scaled,20,0.8,0.0,275.0,3.2695735267836596,3.49082456784987,0.09466804327799379,0.007573443462239504,253.58954099061555,False,True,False,target_reached,,fuel_exhausted,pessimistic,21.0,1.0,22.0,0.08,6000,0.0,600,1.259363797352735,2696.8287499999997,30.10185708819891,1.0,30.10185708819891,0.5878925441509193,0.0,3.3619993251656126,3.3619993251656126,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0030_pessimistic_fixed_body_50pct_loss20,D0030,fixed_body_50pct,20,0.8,0.5,275.0,-55.62416431650712,-55.40291327544088,0.11694095653952591,0.009355276523162074,253.58954099061555,False,False,False,fuel_exhausted,fuel_exhausted;reached_mach_1,gate_failed,pessimistic,21.0,1.0,22.0,0.08,6000,0.0,600,1.259363797352735,2696.8287499999997,72.79419266807108,0.9526285599401217,,,7.947201924318748e-17,0.0167884305823236,0.0167884305823236,0.1274885816166593,29995.030039484987,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True
